Date,NBER,c12
01/31/1976,0,0
02/29/1976,0,0
03/31/1976,0,0
04/30/1976,0,0
05/31/1976,0,0
06/30/1976,0,0
07/31/1976,0,0
08/31/1976,0,0
09/30/1976,0,0
10/31/1976,0,0
11/30/1976,0,0
12/31/1976,0,0
01/31/1977,0,0
02/28/1977,0,0
03/31/1977,0,0
04/30/1977,0,0
05/31/1977,0,0
06/30/1977,0,0
07/31/1977,0,0
08/31/1977,0,0
09/30/1977,0,0
10/31/1977,0,0
11/30/1977,0,0
12/31/1977,0,0
01/31/1978,0,0
02/28/1978,0,0
03/31/1978,0,0
04/30/1978,0,0
05/31/1978,0,0
06/30/1978,0,0
07/31/1978,0,0
08/31/1978,0,0
09/30/1978,0,0
10/31/1978,0,0
11/30/1978,0,0
12/31/1978,0,0
01/31/1979,0,0
02/28/1979,0,0
03/31/1979,0,0
04/30/1979,0,0
05/31/1979,0,0
06/30/1979,0,0
07/31/1979,0,0
08/31/1979,0,0
09/30/1979,0,0
10/31/1979,0,1
11/30/1979,0,1
12/31/1979,0,1
01/31/1980,1,1
02/29/1980,1,1
03/31/1980,1,1
04/30/1980,1,1
05/31/1980,1,1
06/30/1980,1,1
07/31/1980,1,1
08/31/1980,0,1
09/30/1980,0,1
10/31/1980,0,0
11/30/1980,0,0
12/31/1980,0,0
01/31/1981,0,0
02/28/1981,0,0
03/31/1981,0,0
04/30/1981,0,0
05/31/1981,0,0
06/30/1981,0,0
07/31/1981,1,0
08/31/1981,1,0
09/30/1981,1,0
10/31/1981,1,1
11/30/1981,1,1
12/31/1981,1,1
01/31/1982,1,1
02/28/1982,1,1
03/31/1982,1,1
04/30/1982,1,1
05/31/1982,1,1
06/30/1982,1,1
07/31/1982,1,1
08/31/1982,1,1
09/30/1982,1,1
10/31/1982,1,1
11/30/1982,1,1
12/31/1982,0,1
01/31/1983,0,1
02/28/1983,0,0
03/31/1983,0,0
04/30/1983,0,0
05/31/1983,0,0
06/30/1983,0,0
07/31/1983,0,0
08/31/1983,0,0
09/30/1983,0,0
10/31/1983,0,0
11/30/1983,0,0
12/31/1983,0,0
01/31/1984,0,0
02/29/1984,0,0
03/31/1984,0,0
04/30/1984,0,0
05/31/1984,0,0
06/30/1984,0,0
07/31/1984,0,0
08/31/1984,0,0
09/30/1984,0,0
10/31/1984,0,0
11/30/1984,0,0
12/31/1984,0,0
01/31/1985,0,0
02/28/1985,0,0
03/31/1985,0,0
04/30/1985,0,0
05/31/1985,0,0
06/30/1985,0,0
07/31/1985,0,0
08/31/1985,0,0
09/30/1985,0,0
10/31/1985,0,0
11/30/1985,0,0
12/31/1985,0,0
01/31/1986,0,0
02/28/1986,0,0
03/31/1986,0,0
04/30/1986,0,0
05/31/1986,0,0
06/30/1986,0,0
07/31/1986,0,0
08/31/1986,0,0
09/30/1986,0,0
10/31/1986,0,0
11/30/1986,0,0
12/31/1986,0,0
01/31/1987,0,0
02/28/1987,0,0
03/31/1987,0,0
04/30/1987,0,0
05/31/1987,0,0
06/30/1987,0,0
07/31/1987,0,0
08/31/1987,0,0
09/30/1987,0,0
10/31/1987,0,0
11/30/1987,0,0
12/31/1987,0,0
01/31/1988,0,0
02/29/1988,0,0
03/31/1988,0,0
04/30/1988,0,0
05/31/1988,0,0
06/30/1988,0,0
07/31/1988,0,0
08/31/1988,0,0
09/30/1988,0,0
10/31/1988,0,0
11/30/1988,0,0
12/31/1988,0,0
01/31/1989,0,0
02/28/1989,0,0
03/31/1989,0,0
04/30/1989,0,0
05/31/1989,0,0
06/30/1989,0,0
07/31/1989,0,0
08/31/1989,0,0
09/30/1989,0,0
10/31/1989,0,0
11/30/1989,0,0
12/31/1989,0,0
01/31/1990,0,0
02/28/1990,0,0
03/31/1990,0,0
04/30/1990,0,0
05/31/1990,0,0
06/30/1990,0,0
07/31/1990,1,0
08/31/1990,1,0
09/30/1990,1,0
10/31/1990,1,1
11/30/1990,1,1
12/31/1990,1,1
01/31/1991,1,1
02/28/1991,1,1
03/31/1991,1,1
04/30/1991,0,1
05/31/1991,0,1
06/30/1991,0,1
07/31/1991,0,0
08/31/1991,0,0
09/30/1991,0,0
10/31/1991,0,0
11/30/1991,0,0
12/31/1991,0,0
01/31/1992,0,0
02/29/1992,0,0
03/31/1992,0,0
04/30/1992,0,0
05/31/1992,0,0
06/30/1992,0,0
07/31/1992,0,0
08/31/1992,0,0
09/30/1992,0,0
10/31/1992,0,0
11/30/1992,0,0
12/31/1992,0,0
01/31/1993,0,0
02/28/1993,0,0
03/31/1993,0,0
04/30/1993,0,0
05/31/1993,0,0
06/30/1993,0,0
07/31/1993,0,0
08/31/1993,0,0
09/30/1993,0,0
10/31/1993,0,0
11/30/1993,0,0
12/31/1993,0,0
01/31/1994,0,0
02/28/1994,0,0
03/31/1994,0,0
04/30/1994,0,0
05/31/1994,0,0
06/30/1994,0,0
07/31/1994,0,0
08/31/1994,0,0
09/30/1994,0,0
10/31/1994,0,0
11/30/1994,0,0
12/31/1994,0,0
01/31/1995,0,0
02/28/1995,0,0
03/31/1995,0,0
04/30/1995,0,0
05/31/1995,0,0
06/30/1995,0,0
07/31/1995,0,0
08/31/1995,0,0
09/30/1995,0,0
10/31/1995,0,0
11/30/1995,0,0
12/31/1995,0,0
01/31/1996,0,0
02/29/1996,0,0
03/31/1996,0,0
04/30/1996,0,0
05/31/1996,0,0
06/30/1996,0,0
07/31/1996,0,0
08/31/1996,0,0
09/30/1996,0,0
10/31/1996,0,0
11/30/1996,0,0
12/31/1996,0,0
01/31/1997,0,0
02/28/1997,0,0
03/31/1997,0,0
04/30/1997,0,0
05/31/1997,0,0
06/30/1997,0,0
07/31/1997,0,0
08/31/1997,0,0
09/30/1997,0,0
10/31/1997,0,0
11/30/1997,0,0
12/31/1997,0,0
01/31/1998,0,0
02/28/1998,0,0
03/31/1998,0,0
04/30/1998,0,0
05/31/1998,0,0
06/30/1998,0,0
07/31/1998,0,0
08/31/1998,0,0
09/30/1998,0,0
10/31/1998,0,0
11/30/1998,0,0
12/31/1998,0,0
01/31/1999,0,0
02/28/1999,0,0
03/31/1999,0,0
04/30/1999,0,0
05/31/1999,0,0
06/30/1999,0,0
07/31/1999,0,0
08/31/1999,0,0
09/30/1999,0,0
10/31/1999,0,0
11/30/1999,0,0
12/31/1999,0,0
01/31/2000,0,0
02/29/2000,0,0
03/31/2000,0,0
04/30/2000,0,0
05/31/2000,0,0
06/30/2000,0,0
07/31/2000,0,0
08/31/2000,0,0
09/30/2000,0,0
10/31/2000,0,0
11/30/2000,0,0
12/31/2000,0,0
01/31/2001,0,0
02/28/2001,0,0
03/31/2001,1,1
04/30/2001,1,1
05/31/2001,1,1
06/30/2001,1,1
07/31/2001,1,1
08/31/2001,1,1
09/30/2001,1,1
10/31/2001,1,1
11/30/2001,1,1
12/31/2001,0,1
01/31/2002,0,1
02/28/2002,0,1
03/31/2002,0,1
04/30/2002,0,1
05/31/2002,0,0
06/30/2002,0,0
07/31/2002,0,0
08/31/2002,0,0
09/30/2002,0,0
10/31/2002,0,0
11/30/2002,0,0
12/31/2002,0,0
01/31/2003,0,0
02/28/2003,0,0
03/31/2003,0,0
04/30/2003,0,0
05/31/2003,0,0
06/30/2003,0,0
07/31/2003,0,0
08/31/2003,0,0
09/30/2003,0,0
10/31/2003,0,0
11/30/2003,0,0
12/31/2003,0,0
01/31/2004,0,0
02/29/2004,0,0
03/31/2004,0,0
04/30/2004,0,0
05/31/2004,0,0
06/30/2004,0,0
07/31/2004,0,0
08/31/2004,0,0
09/30/2004,0,0
10/31/2004,0,0
11/30/2004,0,0
12/31/2004,0,0
01/31/2005,0,0
02/28/2005,0,0
03/31/2005,0,0
04/30/2005,0,0
05/31/2005,0,0
06/30/2005,0,0
07/31/2005,0,0
08/31/2005,0,0
09/30/2005,0,0
10/31/2005,0,0
11/30/2005,0,0
12/31/2005,0,0
01/31/2006,0,0
02/28/2006,0,0
03/31/2006,0,0
04/30/2006,0,0
05/31/2006,0,0
06/30/2006,0,0
07/31/2006,0,0
08/31/2006,0,0
09/30/2006,0,0
10/31/2006,0,0
11/30/2006,0,0
12/31/2006,0,0
01/31/2007,0,0
02/28/2007,0,0
03/31/2007,0,0
04/30/2007,0,0
05/31/2007,0,0
06/30/2007,0,0
07/31/2007,0,0
08/31/2007,0,0
09/30/2007,0,0
10/31/2007,0,0
11/30/2007,0,0
12/31/2007,1,1
01/31/2008,1,1
02/29/2008,1,1
03/31/2008,1,1
04/30/2008,1,1
05/31/2008,1,1
06/30/2008,1,1
07/31/2008,1,1
08/31/2008,1,1
09/30/2008,1,1
10/31/2008,1,1
11/30/2008,1,1
12/31/2008,1,1
01/31/2009,1,1
02/28/2009,1,1
03/31/2009,1,1
04/30/2009,1,1
05/31/2009,1,1
06/30/2009,1,1
07/31/2009,0,1
08/31/2009,0,1
09/30/2009,0,1
10/31/2009,0,1
11/30/2009,0,1
12/31/2009,0,0
01/31/2010,0,0
02/28/2010,0,0
03/31/2010,0,0
04/30/2010,0,0
05/31/2010,0,0
06/30/2010,0,0
07/31/2010,0,0
08/31/2010,0,0
09/30/2010,0,0
10/31/2010,0,0
11/30/2010,0,0
12/31/2010,0,0
